year,round,pick,team,player,keeper
2018,1,1,"LeÂÂVeon, Pick up the pen",Le'Veon Bell,False
2018,1,2,Johnny Malandro Friends Friend,Todd Gurley II,False
2018,1,3,Large 66,David Johnson,False
2018,1,4,Thielan up Kelce,Antonio Brown,False
2018,1,5,Tim Butler,Ezekiel Elliott,False
2018,1,6,Team donner,Alvin Kamara,False
2018,1,7,Half Chubbs,Kareem Hunt,False
2018,1,8,Team Carey,Saquon Barkley,False
2018,1,9,Team Fisher,Odell Beckham Jr.,False
2018,1,10,Bball And BBQ?,DeAndre Hopkins,False
2018,2,1,Bball And BBQ?,Melvin Gordon,False
2018,2,2,Team Fisher,Leonard Fournette,False
2018,2,3,Team Carey,Keenan Allen,False
2018,2,4,Half Chubbs,Julio Jones,False
2018,2,5,Team donner,Michael Thomas,False
2018,2,6,Tim Butler,A.J. Green,False
2018,2,7,Thielan up Kelce,Travis Kelce,False
2018,2,8,Large 66,Christian McCaffrey,False
2018,2,9,Johnny Malandro Friends Friend,Davante Adams,False
2018,2,10,"LeÂÂVeon, Pick up the pen",Mike Evans,False
2018,3,1,"LeÂÂVeon, Pick up the pen",Zach Ertz,False
2018,3,2,Johnny Malandro Friends Friend,Devonta Freeman,False
2018,3,3,Large 66,Rob Gronkowski,False
2018,3,4,Thielan up Kelce,Adam Thielen,False
2018,3,5,Tim Butler,Dalvin Cook,False
2018,3,6,Team donner,Jerick McKinnon,False
2018,3,7,Half Chubbs,LeSean McCoy,False
2018,3,8,Team Carey,T.Y. Hilton,False
2018,3,9,Team Fisher,Stefon Diggs,False
2018,3,10,Bball And BBQ?,Evan Engram,False
2018,4,1,Bball And BBQ?,Joe Mixon,False
2018,4,2,Team Fisher,Brandin Cooks,False
2018,4,3,Team Carey,Jordan Howard,False
2018,4,4,Half Chubbs,Tyreek Hill,False
2018,4,5,Team donner,Doug Baldwin,False
2018,4,6,Tim Butler,Josh Gordon,False
2018,4,7,Thielan up Kelce,Larry Fitzgerald,False
2018,4,8,Large 66,Amari Cooper,False
2018,4,9,Johnny Malandro Friends Friend,Golden Tate,False
2018,4,10,"LeÂÂVeon, Pick up the pen",Alshon Jeffery,False
2018,5,1,"LeÂÂVeon, Pick up the pen",Aaron Rodgers,False
2018,5,2,Johnny Malandro Friends Friend,Jay Ajayi,False
2018,5,3,Large 66,Derrick Henry,False
2018,5,4,Thielan up Kelce,Kenyan Drake,False
2018,5,5,Tim Butler,Jarvis Landry,False
2018,5,6,Team donner,Demaryius Thomas,False
2018,5,7,Half Chubbs,Alex Collins,False
2018,5,8,Team Carey,Jimmy Graham,False
2018,5,9,Team Fisher,Tom Brady,False
2018,5,10,Bball And BBQ?,Allen Robinson,False
2018,6,1,Bball And BBQ?,Cam Newton,False
2018,6,2,Team Fisher,Lamar Miller,False
2018,6,3,Team Carey,Michael Crabtree,False
2018,6,4,Half Chubbs,Marvin Jones Jr.,False
2018,6,5,Team donner,Russell Wilson,False
2018,6,6,Tim Butler,JuJu Smith-Schuster,False
2018,6,7,Thielan up Kelce,Royce Freeman,False
2018,6,8,Large 66,Deshaun Watson,False
2018,6,9,Johnny Malandro Friends Friend,Greg Olsen,False
2018,6,10,"LeÂÂVeon, Pick up the pen",Marshawn Lynch,False
2018,7,1,"LeÂÂVeon, Pick up the pen",Sammy Watkins,False
2018,7,2,Johnny Malandro Friends Friend,Corey Davis,False
2018,7,3,Large 66,Pierre Garcon,False
2018,7,4,Thielan up Kelce,Dion Lewis,False
2018,7,5,Tim Butler,Mark Ingram II,False
2018,7,6,Team donner,Delanie Walker,False
2018,7,7,Half Chubbs,Carson Wentz,False
2018,7,8,Team Carey,Rashaad Penny,False
2018,7,9,Team Fisher,Randall Cobb,False
2018,7,10,Bball And BBQ?,Emmanuel Sanders,False
2018,8,1,Bball And BBQ?,Ronald Jones,False
2018,8,2,Team Fisher,Drew Brees,False
2018,8,3,Team Carey,Chris Hogan,False
2018,8,4,Half Chubbs,Rex Burkhead,False
2018,8,5,Team donner,Tevin Coleman,False
2018,8,6,Tim Butler,Andrew Luck,False
2018,8,7,Thielan up Kelce,Robert Woods,False
2018,8,8,Large 66,Sony Michel,False
2018,8,9,Johnny Malandro Friends Friend,Duke Johnson Jr.,False
2018,8,10,"LeÂÂVeon, Pick up the pen",Will Fuller V,False
2018,9,1,"LeÂÂVeon, Pick up the pen",Marlon Mack,False
2018,9,2,Johnny Malandro Friends Friend,Robby Anderson,False
2018,9,3,Large 66,Calvin Ridley,False
2018,9,4,Thielan up Kelce,Marquise Goodwin,False
2018,9,5,Tim Butler,Kerryon Johnson,False
2018,9,6,Team donner,Devin Funchess,False
2018,9,7,Half Chubbs,Kyle Rudolph,False
2018,9,8,Team Carey,Julian Edelman,False
2018,9,9,Team Fisher,Carlos Hyde,False
2018,9,10,Bball And BBQ?,Isaiah Crowell,False
2018,10,1,Bball And BBQ?,DeVante Parker,False
2018,10,2,Team Fisher,Trey Burton,False
2018,10,3,Team Carey,Tarik Cohen,False
2018,10,4,Half Chubbs,Nick Chubb,False
2018,10,5,Team donner,Jamison Crowder,False
2018,10,6,Tim Butler,Cooper Kupp,False
2018,10,7,Thielan up Kelce,Jamaal Williams,False
2018,10,8,Large 66,Sterling Shepard,False
2018,10,9,Johnny Malandro Friends Friend,Jordy Nelson,False
2018,10,10,"LeÂÂVeon, Pick up the pen",Jordan Reed,False
2018,11,1,"LeÂÂVeon, Pick up the pen",Ben Roethlisberger,False
2018,11,2,Johnny Malandro Friends Friend,Kirk Cousins,False
2018,11,3,Large 66,Jaguars D/ST,False
2018,11,4,Thielan up Kelce,Kelvin Benjamin,False
2018,11,5,Tim Butler,Jack Doyle,False
2018,11,6,Team donner,C.J. Anderson,False
2018,11,7,Half Chubbs,Nelson Agholor,False
2018,11,8,Team Carey,Matt Ryan,False
2018,11,9,Team Fisher,Chris Thompson,False
2018,11,10,Bball And BBQ?,Eagles D/ST,False
2018,12,1,Bball And BBQ?,Ty Montgomery,False
2018,12,2,Team Fisher,Greg Zuerlein,False
2018,12,3,Team Carey,Mohamed Sanu,False
2018,12,4,Half Chubbs,James White,False
