year,round,pick,team,player,keeper
2023,1,1,Joeman Sachs,Justin Jefferson,False
2023,1,2,Need to AddiZyn,Ja'Marr Chase,False
2023,1,3,Dead Inside ,Christian McCaffrey,False
2023,1,4,Keenan Allen and the Cats,Austin Ekeler,False
2023,1,5,Wookie Wunningbacks,Bijan Robinson,False
2023,1,6,Mr. Pfizer,Stefon Diggs,False
2023,1,7,Tua Turndaballova,Tyreek Hill,False
2023,1,8,Love White Rice ,Nick Chubb,False
2023,1,9,Bennie and the Jets ,Saquon Barkley,False
2023,1,10,Captain Kirk,Tony Pollard,False
2023,2,1,Captain Kirk,A.J. Brown,False
2023,2,2,Bennie and the Jets ,CeeDee Lamb,False
2023,2,3,Love White Rice ,Amon-Ra St. Brown,False
2023,2,4,Tua Turndaballova,Davante Adams,False
2023,2,5,Mr. Pfizer,Travis Kelce,False
2023,2,6,Wookie Wunningbacks,Garrett Wilson,False
2023,2,7,Keenan Allen and the Cats,Derrick Henry,False
2023,2,8,Dead Inside ,Cooper Kupp,False
2023,2,9,Need to AddiZyn,Josh Jacobs,False
2023,2,10,Joeman Sachs,Joe Mixon,False
2023,3,1,Joeman Sachs,Patrick Mahomes,False
2023,3,2,Need to AddiZyn,Chris Olave,False
2023,3,3,Dead Inside ,Jaylen Waddle,False
2023,3,4,Keenan Allen and the Cats,Keenan Allen,False
2023,3,5,Wookie Wunningbacks,Jahmyr Gibbs,False
2023,3,6,Mr. Pfizer,Jalen Hurts,False
2023,3,7,Tua Turndaballova,Travis Etienne Jr.,False
2023,3,8,Love White Rice ,Mark Andrews,False
2023,3,9,Bennie and the Jets ,Josh Allen,False
2023,3,10,Captain Kirk,Lamar Jackson,False
2023,4,1,Captain Kirk,Tee Higgins,False
2023,4,2,Bennie and the Jets ,T.J. Hockenson,False
2023,4,3,Love White Rice ,DeVonta Smith,False
2023,4,4,Tua Turndaballova,Calvin Ridley,False
2023,4,5,Mr. Pfizer,Deebo Samuel,False
2023,4,6,Wookie Wunningbacks,Amari Cooper,False
2023,4,7,Keenan Allen and the Cats,Jerry Jeudy,False
2023,4,8,Dead Inside ,Aaron Jones,False
2023,4,9,Need to AddiZyn,Rhamondre Stevenson,False
2023,4,10,Joeman Sachs,DK Metcalf,False
2023,5,1,Joeman Sachs,Darren Waller,False
2023,5,2,Need to AddiZyn,Justin Fields,False
2023,5,3,Dead Inside ,Breece Hall,False
2023,5,4,Keenan Allen and the Cats,Justin Herbert,False
2023,5,5,Wookie Wunningbacks,DeAndre Hopkins,False
2023,5,6,Mr. Pfizer,Najee Harris,False
2023,5,7,Tua Turndaballova,Kenneth Walker III,False
2023,5,8,Love White Rice ,DJ Moore,False
