year,week,home_team,home_score,away_team,away_score,playoff
2023,1,Dead Inside ,109.74,Love White Rice ,76.48,False
2023,1,Joeman Sachs,100.64,Captain Kirk,73.86,False
2023,1,Keenan Allen and the Cats,88.46,Mr. Pfizer,75.8,False
2023,1,Tua Turndaballova,137.44,Bennie and the Jets ,71.24,False
2023,1,Wookie Wunningbacks,119.72,Need to AddiZyn,84.44,False
2023,2,Captain Kirk,103.18,Mr. Pfizer,120.22,False
2023,2,Bennie and the Jets ,135.66,Dead Inside ,88.94,False
2023,2,Need to AddiZyn,88.34,Love White Rice ,118.28,False
2023,2,Tua Turndaballova,86.96,Joeman Sachs,103.0,False
2023,2,Wookie Wunningbacks,121.3,Keenan Allen and the Cats,107.0,False
2023,3,Bennie and the Jets ,116.72,Need to AddiZyn,73.06,False
2023,3,Captain Kirk,130.38,Tua Turndaballova,168.86,False
2023,3,Mr. Pfizer,145.58,Wookie Wunningbacks,83.26,False
2023,3,Dead Inside ,87.46,Joeman Sachs,118.78,False
2023,3,Love White Rice ,130.08,Keenan Allen and the Cats,108.86,False
2023,4,Tua Turndaballova,106.68,Wookie Wunningbacks,106.24,False
2023,4,Joeman Sachs,103.02,Bennie and the Jets ,114.9,False
2023,4,Keenan Allen and the Cats,103.06,Need to AddiZyn,131.7,False
2023,4,Dead Inside ,109.32,Captain Kirk,115.84,False
2023,4,Love White Rice ,89.56,Mr. Pfizer,104.06,False
2023,5,Joeman Sachs,87.54,Keenan Allen and the Cats,71.36,False
2023,5,Tua Turndaballova,132.12,Dead Inside ,100.12,False
2023,5,Wookie Wunningbacks,70.96,Love White Rice ,128.36,False
2023,5,Bennie and the Jets ,94.26,Captain Kirk,107.24,False
2023,5,Need to AddiZyn,139.08,Mr. Pfizer,133.52,False
2023,6,Love White Rice ,115.14,Captain Kirk,108.92,False
2023,6,Mr. Pfizer,96.9,Bennie and the Jets ,88.26,False
2023,6,Need to AddiZyn,105.02,Tua Turndaballova,111.58,False
2023,6,Wookie Wunningbacks,58.66,Joeman Sachs,99.84,False
2023,6,Keenan Allen and the Cats,105.98,Dead Inside ,118.4,False
2023,7,Bennie and the Jets ,103.5,Love White Rice ,113.96,False
